coordinator	C	C
Al-Qaeda	N	N
in	N	N
the	N	N
Islamic	N	N
Maghreb	C	N
claimed	C	N
a	N	N
single	N	N
bomber	N	N
from	N	N
affiliate	C	C
group	N	N
al-Mourabitoun	C	C
conducted	C	C
the	N	N
attack	N	N
.	N	N
----------
In	N	N
the	N	N
last	N	N
two	N	N
months	N	N
,	N	N
Bayern	N	N
Munich	N	N
has	N	N
announced	C	C
Polish	N	N
striker	C	N
Robert	N	N
Lewandowski	C	C
signed	N	N
a	N	N
contract	C	N
extension	C	C
until	N	N
June	N	N
2021	N	N
and	N	N
French	N	N
winger	C	N
Franck	N	N
Ribéry	C	N
signed	N	N
a	N	N
one-year	N	N
contract	N	N
extension	C	C
with	N	N
the	N	N
club	N	N
.	N	N
----------
